route_id,trip_id,stop_id,arrival_time,departure_time,shape_dist_traveled,stop_headsign,stop_name,stop_lat,stop_lon
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS557,19:33:00,19:33:00,5163.09,to Tower Acres and Physics,Physics Building: BUS557,40.430362,-86.913149
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS509SW,19:29:42,19:29:42,4208.78,to Tower Acres and Physics,Tower Dr & Jischke Dr (SW Corner): BUS509SW,40.4329756160364,-86.9216929031427
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS472S,19:29:16,19:29:16,4082.35,to Tower Acres and Physics,Tower Dr & Hilltop Dr (SE Corner): BUS472S,40.4331915338749,-86.92314800162
14C,6f58d39c-1095-4c4b-a0a2-311a0581d79c,BUS562S,19:28:26,19:28:26,3838.39,to Tower Acres and Physics,Theta Chi on Tower Dr: BUS562S,40.4331875105612,-86.9259388402664
14C,5982745d-456f-4cc0-9122-ad3388e17a76,BUS554E,21:56:34,21:56:34,3283.28,to Tower Acres and Physics,Alpha Chi on David Ross Rd: BUS554E,40.4343180617284,-86.9256786659764
14C,5982745d-456f-4cc0-9122-ad3388e17a76,BUS553,21:57:00,21:57:00,3419.97,to Tower Acres and Physics,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
14C,5982745d-456f-4cc0-9122-ad3388e17a76,BUS554W,21:57:25,21:57:25,3543.92,to Tower Acres and Physics,Alpha Chi on David Ross Rd: BUS554W,40.4344240089908,-86.9257041469636
14C,5982745d-456f-4cc0-9122-ad3388e17a76,BUS562S,21:58:26,21:58:26,3838.39,to Tower Acres and Physics,Theta Chi on Tower Dr: BUS562S,40.4331875105612,-86.9259388402664
14C,5982745d-456f-4cc0-9122-ad3388e17a76,BUS472S,21:59:16,21:59:16,4082.35,to Tower Acres and Physics,Tower Dr & Hilltop Dr (SE Corner): BUS472S,40.4331915338749,-86.92314800162
14C,5982745d-456f-4cc0-9122-ad3388e17a76,BUS509SW,21:59:42,21:59:42,4208.78,to Tower Acres and Physics,Tower Dr & Jischke Dr (SW Corner): BUS509SW,40.4329756160364,-86.9216929031427
14C,5982745d-456f-4cc0-9122-ad3388e17a76,BUS190,22:02:11,22:02:11,4929.87,to Tower Acres and Physics,Armstrong Hall on Stadium Ave (@Shelter): BUS190,40.431280459838,-86.9153011986793
