route_id,trip_id,stop_id,arrival_time,departure_time,shape_dist_traveled,stop_headsign,stop_name,stop_lat,stop_lon
15C,d8b97403-8b3e-42df-80c1-b01d07516ebb,BUS271,07:42:00,07:42:00,0.0,to Tower Acres,Purdue Memorial Union (PMU) on MD Blvd: BUS271,40.4241243257597,-86.9118599243081
15C,a4c7b2b5-a13d-4799-8546-c2d66d2a43de,BUS413,07:42:02,07:42:02,1524.9,to Tower Acres,Ford Hall on Stadium Ave (North Side): BUS413,40.4315056427484,-86.9203287019515
15C,a9d9bc8d-39ff-4230-919b-27d47751a211,BUS472S,07:42:17,07:42:17,663.77,to Campus and PMU,Tower Dr & Hilltop Dr (SE Corner): BUS472S,40.4331915338749,-86.92314800162
15C,a9d9bc8d-39ff-4230-919b-27d47751a211,BUS509SW,07:42:43,07:42:43,790.18,to Campus and PMU,Tower Dr & Jischke Dr (SW Corner): BUS509SW,40.4329756160364,-86.9216929031427
15C,a4c7b2b5-a13d-4799-8546-c2d66d2a43de,BUS509SE,07:43:24,07:43:24,1783.22,to Tower Acres,Jischke Dr & Tower Dr (SE Corner): BUS509SE,40.4328844209244,-86.9214300466436
15C,a9d9bc8d-39ff-4230-919b-27d47751a211,BUS213S,07:43:34,07:43:34,1032.5,to Campus and PMU,Steven Beering Dr & Tower Dr (SW of): BUS213S,40.432584,-86.919271
15C,a4c7b2b5-a13d-4799-8546-c2d66d2a43de,BUS472N,07:44:17,07:44:17,1950.84,to Tower Acres,Tower Dr & Hilltop Dr (NE Corner): BUS472N,40.4332773645685,-86.9231989635944
15C,d8b97403-8b3e-42df-80c1-b01d07516ebb,BUS389,07:45:08,07:45:08,593.95,to Tower Acres,Beering Hall on University St (@Shelter): BUS389,40.4259026304426,-86.9166141400703
15C,a9d9bc8d-39ff-4230-919b-27d47751a211,BUS190,07:45:10,07:45:10,1499.02,to Campus and PMU,Armstrong Hall on Stadium Ave (@Shelter): BUS190,40.431280459838,-86.9153011986793
15C,a4c7b2b5-a13d-4799-8546-c2d66d2a43de,BUS562N,07:45:39,07:45:39,2208.31,to Tower Acres,Theta Chi on Tower Dr: BUS562N,40.4332438369539,-86.9261467114774
15C,a9d9bc8d-39ff-4230-919b-27d47751a211,BUS557,07:46:00,07:46:00,1736.1,to Campus and PMU,Physics Building: BUS557,40.430362,-86.913149
15C,a4c7b2b5-a13d-4799-8546-c2d66d2a43de,BUS554E,07:46:59,07:46:59,2461.07,to Tower Acres,Alpha Chi on David Ross Rd: BUS554E,40.4343180617284,-86.9256786659764
15C,d8b97403-8b3e-42df-80c1-b01d07516ebb,BUS490SE,07:47:02,07:47:02,957.12,to Tower Acres,N University St & 5th St at PUSH: BUS490SE,40.429170902322,-86.916608775652
15C,a9d9bc8d-39ff-4230-919b-27d47751a211,BUS538,07:47:05,07:47:05,1985.58,to Campus and PMU,Electrical Engineering (at Shelter): BUS538,40.428627,-86.911277
15C,a4c7b2b5-a13d-4799-8546-c2d66d2a43de,BUS553,07:48:00,07:48:00,2653.46,to Tower Acres,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
15C,a08dc570-e7fd-4a68-b463-cd95418a9d9f,BUS553,07:48:00,07:48:00,0.0,to Campus and PMU,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
15C,a08dc570-e7fd-4a68-b463-cd95418a9d9f,BUS554W,07:48:25,07:48:25,125.29,to Campus and PMU,Alpha Chi on David Ross Rd: BUS554W,40.4344240089908,-86.9257041469636
15C,a08dc570-e7fd-4a68-b463-cd95418a9d9f,BUS562S,07:49:27,07:49:27,420.39,to Campus and PMU,Theta Chi on Tower Dr: BUS562S,40.4331875105612,-86.9259388402664
15C,8368034c-e800-490c-bd4b-7eb9e259955c,BUS271,07:50:00,07:50:00,0.0,to Tower Acres,Purdue Memorial Union (PMU) on MD Blvd: BUS271,40.4241243257597,-86.9118599243081
15C,a9d9bc8d-39ff-4230-919b-27d47751a211,BUS271,07:50:00,07:50:00,2648.53,to Campus and PMU,Purdue Memorial Union (PMU) on MD Blvd: BUS271,40.4241243257597,-86.9118599243081
15C,d8b97403-8b3e-42df-80c1-b01d07516ebb,BUS413,07:50:02,07:50:02,1524.9,to Tower Acres,Ford Hall on Stadium Ave (North Side): BUS413,40.4315056427484,-86.9203287019515
15C,a08dc570-e7fd-4a68-b463-cd95418a9d9f,BUS472S,07:50:17,07:50:17,663.77,to Campus and PMU,Tower Dr & Hilltop Dr (SE Corner): BUS472S,40.4331915338749,-86.92314800162
15C,a08dc570-e7fd-4a68-b463-cd95418a9d9f,BUS509SW,07:50:43,07:50:43,790.18,to Campus and PMU,Tower Dr & Jischke Dr (SW Corner): BUS509SW,40.4329756160364,-86.9216929031427
15C,d8b97403-8b3e-42df-80c1-b01d07516ebb,BUS509SE,07:51:24,07:51:24,1783.22,to Tower Acres,Jischke Dr & Tower Dr (SE Corner): BUS509SE,40.4328844209244,-86.9214300466436
15C,a08dc570-e7fd-4a68-b463-cd95418a9d9f,BUS213S,07:51:34,07:51:34,1032.5,to Campus and PMU,Steven Beering Dr & Tower Dr (SW of): BUS213S,40.432584,-86.919271
15C,d8b97403-8b3e-42df-80c1-b01d07516ebb,BUS472N,07:52:17,07:52:17,1950.84,to Tower Acres,Tower Dr & Hilltop Dr (NE Corner): BUS472N,40.4332773645685,-86.9231989635944
15C,8368034c-e800-490c-bd4b-7eb9e259955c,BUS389,07:53:08,07:53:08,593.95,to Tower Acres,Beering Hall on University St (@Shelter): BUS389,40.4259026304426,-86.9166141400703
15C,a08dc570-e7fd-4a68-b463-cd95418a9d9f,BUS190,07:53:10,07:53:10,1499.02,to Campus and PMU,Armstrong Hall on Stadium Ave (@Shelter): BUS190,40.431280459838,-86.9153011986793
15C,d8b97403-8b3e-42df-80c1-b01d07516ebb,BUS562N,07:53:39,07:53:39,2208.31,to Tower Acres,Theta Chi on Tower Dr: BUS562N,40.4332438369539,-86.9261467114774
15C,a08dc570-e7fd-4a68-b463-cd95418a9d9f,BUS557,07:54:00,07:54:00,1736.1,to Campus and PMU,Physics Building: BUS557,40.430362,-86.913149
15C,d8b97403-8b3e-42df-80c1-b01d07516ebb,BUS554E,07:54:59,07:54:59,2461.07,to Tower Acres,Alpha Chi on David Ross Rd: BUS554E,40.4343180617284,-86.9256786659764
15C,8368034c-e800-490c-bd4b-7eb9e259955c,BUS490SE,07:55:02,07:55:02,957.12,to Tower Acres,N University St & 5th St at PUSH: BUS490SE,40.429170902322,-86.916608775652
15C,a08dc570-e7fd-4a68-b463-cd95418a9d9f,BUS538,07:55:05,07:55:05,1985.58,to Campus and PMU,Electrical Engineering (at Shelter): BUS538,40.428627,-86.911277
15C,d8b97403-8b3e-42df-80c1-b01d07516ebb,BUS553,07:56:00,07:56:00,2653.46,to Tower Acres,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
15C,4d0d9374-a62b-4ca0-bccf-7033206f4277,BUS553,07:56:00,07:56:00,0.0,to Campus and PMU,Circle Pines on David Ross Rd (NW Corner): BUS553,40.4353386423194,-86.9249517872901
15C,4d0d9374-a62b-4ca0-bccf-7033206f4277,BUS554W,07:56:25,07:56:25,125.29,to Campus and PMU,Alpha Chi on David Ross Rd: BUS554W,40.4344240089908,-86.9257041469636
15C,4d0d9374-a62b-4ca0-bccf-7033206f4277,BUS562S,07:57:27,07:57:27,420.39,to Campus and PMU,Theta Chi on Tower Dr: BUS562S,40.4331875105612,-86.9259388402664
15C,a08dc570-e7fd-4a68-b463-cd95418a9d9f,BUS271,07:58:00,07:58:00,2648.53,to Campus and PMU,Purdue Memorial Union (PMU) on MD Blvd: BUS271,40.4241243257597,-86.9118599243081
15C,f4371fe9-cc50-4318-a2ed-cfb6617b99e0,BUS271,07:58:00,07:58:00,0.0,to Tower Acres,Purdue Memorial Union (PMU) on MD Blvd: BUS271,40.4241243257597,-86.9118599243081
15C,8368034c-e800-490c-bd4b-7eb9e259955c,BUS413,07:58:02,07:58:02,1524.9,to Tower Acres,Ford Hall on Stadium Ave (North Side): BUS413,40.4315056427484,-86.9203287019515
15C,4d0d9374-a62b-4ca0-bccf-7033206f4277,BUS472S,07:58:17,07:58:17,663.77,to Campus and PMU,Tower Dr & Hilltop Dr (SE Corner): BUS472S,40.4331915338749,-86.92314800162
15C,4d0d9374-a62b-4ca0-bccf-7033206f4277,BUS509SW,07:58:43,07:58:43,790.18,to Campus and PMU,Tower Dr & Jischke Dr (SW Corner): BUS509SW,40.4329756160364,-86.9216929031427
15C,8368034c-e800-490c-bd4b-7eb9e259955c,BUS509SE,07:59:24,07:59:24,1783.22,to Tower Acres,Jischke Dr & Tower Dr (SE Corner): BUS509SE,40.4328844209244,-86.9214300466436
15C,4d0d9374-a62b-4ca0-bccf-7033206f4277,BUS213S,07:59:34,07:59:34,1032.5,to Campus and PMU,Steven Beering Dr & Tower Dr (SW of): BUS213S,40.432584,-86.919271
15C,8368034c-e800-490c-bd4b-7eb9e259955c,BUS472N,08:00:17,08:00:17,1950.84,to Tower Acres,Tower Dr & Hilltop Dr (NE Corner): BUS472N,40.4332773645685,-86.9231989635944
15C,f4371fe9-cc50-4318-a2ed-cfb6617b99e0,BUS389,08:01:08,08:01:08,593.95,to Tower Acres,Beering Hall on University St (@Shelter): BUS389,40.4259026304426,-86.9166141400703
15C,4d0d9374-a62b-4ca0-bccf-7033206f4277,BUS190,08:01:10,08:01:10,1499.02,to Campus and PMU,Armstrong Hall on Stadium Ave (@Shelter): BUS190,40.431280459838,-86.9153011986793
15C,8368034c-e800-490c-bd4b-7eb9e259955c,BUS562N,08:01:39,08:01:39,2208.31,to Tower Acres,Theta Chi on Tower Dr: BUS562N,40.4332438369539,-86.9261467114774
15C,4d0d9374-a62b-4ca0-bccf-7033206f4277,BUS557,08:02:00,08:02:00,1736.1,to Campus and PMU,Physics Building: BUS557,40.430362,-86.913149
15C,8368034c-e800-490c-bd4b-7eb9e259955c,BUS554E,08:02:59,08:02:59,2461.07,to Tower Acres,Alpha Chi on David Ross Rd: BUS554E,40.4343180617284,-86.9256786659764
15C,f4371fe9-cc50-4318-a2ed-cfb6617b99e0,BUS490SE,08:03:02,08:03:02,957.12,to Tower Acres,N University St & 5th St at PUSH: BUS490SE,40.429170902322,-86.916608775652
15C,4d0d9374-a62b-4ca0-bccf-7033206f4277,BUS538,08:03:05,08:03:05,1985.58,to Campus and PMU,Electrical Engineering (at Shelter): BUS538,40.428627,-86.911277
